Week,Facebook Metaverse,Roblox Metaverse,Apple Metaverse
8/07/22,40,14,8
8/14/22,50,14,9
8/21/22,53,22,8
8/28/22,42,10,5
9/04/22,43,11,9
9/11/22,44,20,4
9/18/22,52,14,7
9/25/22,44,18,9
10/02/22,44,10,11
10/09/22,70,15,8
10/16/22,66,14,9
10/23/22,100,16,16
10/30/22,90,15,12
11/06/22,93,14,9
11/13/22,59,11,15
11/20/22,45,11,5
11/27/22,42,14,9
12/04/22,45,12,5
12/11/22,35,11,6
12/18/22,26,9,2
12/25/22,29,10,8
1/01/23,22,8,3
1/08/23,37,12,6
1/15/23,29,12,7
1/22/23,27,12,5
1/29/23,29,10,11
2/05/23,32,10,6
2/12/23,29,8,7
2/19/23,27,8,3
2/26/23,28,11,3
3/05/23,35,6,5
3/12/23,27,10,3
3/19/23,32,7,5
3/26/23,25,9,5
4/02/23,19,9,3
4/09/23,21,8,3
4/16/23,16,8,6
4/23/23,21,8,3
4/30/23,18,10,4
5/07/23,20,10,6
5/14/23,20,4,8
5/21/23,19,6,7
5/28/23,14,4,6
6/04/23,25,4,46
6/11/23,14,4,13
6/18/23,13,4,9
6/25/23,12,4,7
7/02/23,17,6,8
7/09/23,14,6,5
7/16/23,13,8,3
7/23/23,10,8,5
7/30/23,15,0,0