Week,Microsoft Cloud,Amazon Cloud,Google Cloud
8/07/22,15,24,97
8/14/22,16,25,98
8/21/22,15,25,95
8/28/22,16,22,91
9/04/22,15,25,88
9/11/22,17,23,99
9/18/22,15,25,96
9/25/22,16,21,91
10/02/22,16,25,99
10/09/22,18,25,100
10/16/22,15,23,94
10/23/22,18,23,93
10/30/22,15,21,91
11/06/22,14,24,90
11/13/22,16,25,94
11/20/22,12,27,71
11/27/22,17,32,91
12/04/22,16,30,89
12/11/22,15,30,91
12/18/22,14,22,71
12/25/22,11,23,60
1/01/23,15,22,74
1/08/23,15,20,89
1/15/23,15,22,87
1/22/23,17,22,90
1/29/23,16,23,94
2/05/23,16,21,94
2/12/23,16,21,100
2/19/23,16,21,89
2/26/23,14,22,97
3/05/23,15,21,92
3/12/23,14,20,86
3/19/23,14,21,91
3/26/23,15,18,90
4/02/23,16,20,92
4/09/23,15,21,90
4/16/23,17,21,92
4/23/23,17,21,95
4/30/23,16,20,96
5/07/23,15,20,89
5/14/23,15,21,93
5/21/23,15,20,89
5/28/23,14,21,82
6/04/23,16,20,95
6/11/23,16,21,90
6/18/23,15,21,81
6/25/23,15,22,86
7/02/23,12,21,76
7/09/23,17,24,87
7/16/23,17,20,82
7/23/23,15,22,88